1,0,10000,5,0
1001,1.5159,9263,6,495
2001,3.0431,9014,7,485
3001,4.707,8840,7,479
4001,6.3348,8581,8,467
5001,8.048,8331,8,461
6001,9.8273,8107,8,457
7001,11.671,7865,7,450
8001,13.57,7613,7,440
9001,15.491,7417,8,427
10001,17.486,7195,8,421
11001,19.494,6950,8,416
12001,21.636,6693,9,414
13001,23.883,6453,9,408
14001,26.149,6183,9,404
15001,28.401,5957,9,392
16001,30.788,5686,9,393
17001,33.173,5425,9,394
18001,35.81,5266,9,389
19001,38.523,5049,11,380
20001,41.451,4831,12,367
21001,44.467,4623,12,353
22001,47.69,4367,13,350
23001,50.968,4154,14,342
24001,54.399,3905,14,323
25001,58.396,3600,17,311
26001,62.238,3383,18,301
27001,66.744,3137,19,284
28001,71.551,2915,20,275
29001,76.635,2701,22,271
30001,81.989,2449,23,256
31001,87.997,2182,26,244
32001,94.771,1978,33,235
33001,102.67,1739,35,218
34001,110.85,1520,42,204
35001,120.59,1333,59,182
36001,131.7,1122,75,163
37001,144.98,944,93,135
38001,160.48,753,124,117
39001,179.67,596,199,99
40001,204.36,384,346,82
41001,230.99,283,625,60
42001,255.44,240,1127,45
43001,274.12,207,1807,42
44001,288.49,192,2541,31
45001,299.67,162,3325,25
46001,309.46,142,4158,22
47001,316.97,138,5000,20
48001,323.74,128,5873,21
49001,329.53,129,6775,24
50001,334.74,124,7679,19
51001,339.61,121,8567,20
52001,343.8,108,9465,21
53001,347.73,110,10343,19
54001,351.16,106,11232,14
55001,354.39,105,12119,10
56001,357.38,99,13025,10
57001,360.21,96,13944,8
58001,362.88,98,14858,8
58824,365,99,15607,9
