1,0,10000,5,0
1001,1.6428,7328,5,2461
2001,3.3509,7157,5,2428
3001,5.063,6964,5,2393
4001,6.8491,6809,5,2366
5001,8.6293,6640,5,2325
6001,10.491,6442,6,2294
7001,12.349,6282,6,2264
8001,14.325,6152,6,2240
9001,16.278,6009,7,2210
10001,18.392,5853,7,2178
11001,20.495,5713,8,2145
12001,22.78,5586,9,2123
13001,24.967,5525,9,2098
14001,27.134,5407,9,2084
15001,29.29,5211,9,2048
16001,31.705,5078,10,2022
17001,34.081,4959,11,2000
18001,36.406,4762,11,1969
19001,38.971,4601,11,1940
20001,41.507,4488,11,1915
21001,44.044,4374,11,1883
22001,46.939,4260,13,1853
23001,49.735,4140,14,1822
24001,52.443,3988,15,1803
25001,55.452,3875,16,1769
26001,58.488,3761,17,1750
27001,61.464,3638,21,1731
28001,64.865,3471,22,1675
29001,68.197,3370,23,1653
30001,71.659,3206,24,1636
31001,75.254,3081,25,1616
32001,78.807,2953,27,1586
33001,82.596,2824,28,1540
34001,86.856,2660,33,1499
35001,91.117,2562,35,1455
36001,95.518,2462,42,1416
37001,99.838,2324,48,1354
38001,104.81,2255,54,1313
39001,109.78,2168,61,1281
40001,114.89,2039,70,1235
41001,120.11,1922,75,1197
42001,125.63,1824,86,1152
43001,131.25,1725,99,1128
44001,137.73,1616,125,1087
45001,144.12,1534,144,1036
46001,151.12,1430,178,970
47001,158.11,1385,210,903
48001,165.43,1293,256,885
49001,172.65,1237,295,866
50001,180.68,1146,349,825
51001,189.28,1072,416,800
52001,197.7,993,515,752
53001,206.56,986,654,710
54001,215.93,937,822,675
55001,224.87,903,1013,664
56001,233.58,849,1248,629
57001,241.94,796,1510,582
58001,250.31,744,1829,547
59001,258.21,690,2189,505
60001,266.13,633,2656,467
61001,273.79,586,3168,444
62001,281.04,569,3761,400
63001,287.25,559,4378,381
64001,292.83,536,5016,364
65001,297.97,521,5701,340
66001,303.09,514,6398,308
67001,307.42,507,7123,288
68001,312.05,492,7860,276
69001,315.92,471,8626,257
70001,319.85,452,9385,247
71001,323.18,436,10161,223
72001,326.35,436,10963,205
73001,329.39,434,11772,186
74001,332.22,425,12600,171
75001,334.98,408,13429,167
76001,337.44,403,14272,161
77001,339.9,407,15090,145
78001,342.33,401,15943,148
79001,344.52,399,16798,139
80001,346.66,404,17657,133
81001,348.66,389,18521,130
82001,350.6,387,19388,117
83001,352.41,382,20277,107
84001,354.19,382,21141,101
85001,355.91,383,21993,86
86001,357.59,391,22865,80
87001,359.2,386,23741,77
88001,360.71,381,24618,75
89001,362.29,386,25493,71
90001,363.78,368,26367,69
90876,365,368,27156,61
