1,0,10000,5,0
1001,1.6111,8430,5,977
2001,3.3489,7964,6,944
3001,5.2065,7567,6,923
4001,7.0717,7227,6,913
5001,8.9872,6934,6,890
6001,11.061,6603,6,869
7001,13.129,6363,7,842
8001,15.369,6074,7,835
9001,17.645,5806,7,825
10001,19.948,5531,7,796
11001,22.487,5282,7,781
12001,25.047,5068,7,759
13001,27.791,4892,7,749
14001,30.845,4651,8,743
15001,33.772,4435,8,733
16001,36.875,4215,9,712
17001,40.111,3991,9,692
18001,43.506,3761,10,681
19001,47.03,3528,11,659
20001,50.778,3349,11,634
21001,55.038,3179,11,608
22001,59.545,2996,11,575
23001,64.222,2852,11,545
24001,69.341,2640,14,510
25001,74.658,2482,18,484
26001,80.172,2311,18,469
27001,85.894,2139,21,444
28001,92.358,1942,23,433
29001,99.79,1811,26,419
30001,107.29,1622,28,390
31001,115.28,1416,31,367
32001,124.28,1274,38,342
33001,134.88,1104,42,312
34001,147.13,931,53,284
35001,161.34,828,65,245
36001,178.45,688,93,205
37001,196.39,554,141,177
38001,219.47,426,231,149
39001,246.33,302,390,114
40001,276.1,177,676,75
41001,305.76,111,1174,53
42001,327.02,84,1787,35
43001,343.27,72,2455,25
44001,356.65,46,3206,22
44756,365,36,3745,20
