1,0,10000,5,0
1001,1.4651,9488,5,176
2001,2.9615,9175,6,228
3001,4.4701,8834,6,264
4001,6.0497,8568,6,288
5001,7.7458,8265,6,325
6001,9.3647,8004,6,332
7001,10.994,7776,6,360
8001,12.593,7508,6,392
9001,14.252,7332,6,405
10001,15.992,7123,6,407
11001,17.661,6882,6,429
12001,19.296,6621,6,431
13001,21.207,6402,6,450
14001,23.192,6188,6,465
15001,25.204,6031,6,472
16001,27.21,5818,6,474
17001,29.248,5608,6,481
18001,31.316,5431,6,488
19001,33.448,5228,6,471
20001,35.621,5088,7,487
21001,37.914,4912,8,476
22001,40.208,4728,8,451
23001,42.615,4527,8,450
24001,45.092,4362,8,445
25001,47.501,4177,9,437
26001,50.046,4013,9,425
27001,52.749,3871,9,418
28001,55.391,3708,9,406
29001,58.126,3519,8,376
30001,61.16,3335,9,361
31001,64.238,3179,9,331
32001,67.264,3062,9,306
33001,70.559,2906,9,306
34001,73.771,2712,9,293
35001,77.199,2544,9,291
36001,80.705,2438,11,273
37001,84.212,2265,12,257
38001,87.96,2159,13,206
39001,91.958,2021,14,202
40001,96.186,1875,16,195
41001,100.4,1766,17,172
42001,104.74,1632,20,161
43001,109.26,1517,21,150
44001,114.1,1442,26,134
45001,119.59,1322,27,126
46001,124.69,1223,28,124
47001,130.3,1127,38,106
48001,135.86,1062,43,88
49001,141.75,968,51,75
50001,147.61,875,56,70
51001,153.75,790,61,62
52001,160.23,714,72,63
53001,167.2,664,87,63
54001,173.8,570,106,69
55001,180.78,526,134,67
56001,187.92,448,160,53
57001,195.16,404,188,47
58001,202.98,349,221,49
59001,210.69,299,259,43
60001,218.97,288,320,41
61001,226.51,265,402,30
62001,234.29,226,484,28
63001,242.27,181,582,25
64001,249.94,157,703,24
65001,257.76,138,857,21
66001,265.6,129,1020,22
67001,272.56,120,1175,18
68001,279.87,109,1348,18
69001,286.54,108,1569,15
70001,292.89,92,1784,17
71001,299.55,82,2004,18
72001,305.78,62,2232,16
73001,311.25,63,2519,12
74001,317.08,51,2796,10
75001,322.53,50,3090,9
76001,328,49,3405,8
77001,333,41,3728,6
78001,337.88,34,4031,2
79001,342.69,34,4357,3
80001,347.23,32,4703,3
81001,351.55,30,5036,3
82001,355.57,34,5366,4
83001,359.78,30,5723,4
84001,363.61,28,6105,3
84375,365,29,6251,1
