1,0,10000,5,0
1001,1.5309,9725,5,0
2001,3.0524,9593,5,0
3001,4.5959,9301,5,0
4001,6.3171,9049,5,0
5001,8.0757,8799,5,0
6001,9.8568,8577,5,0
7001,11.68,8353,5,0
8001,13.444,8132,6,0
9001,15.375,7898,8,0
10001,17.258,7664,8,0
11001,19.165,7428,8,0
12001,21.309,7165,9,0
13001,23.429,6919,9,0
14001,25.613,6705,9,0
15001,27.909,6414,10,0
16001,30.392,6110,12,0
17001,32.976,5791,13,0
18001,35.648,5535,15,0
19001,38.282,5279,15,0
20001,41.068,5056,16,0
21001,44.096,4833,15,0
22001,47.142,4558,18,0
23001,50.534,4290,18,0
24001,54.193,4024,20,0
25001,58.06,3780,22,0
26001,62.239,3489,25,0
27001,66.447,3245,27,0
28001,71.241,3020,32,0
29001,76.413,2807,35,0
30001,82.186,2509,37,0
31001,88.565,2254,40,0
32001,95.375,2006,48,0
33001,103.73,1717,65,0
34001,112.87,1458,78,0
35001,123.18,1246,102,0
36001,136.52,964,130,0
37001,153.32,747,195,0
38001,172.77,574,318,0
39001,195.91,386,590,0
40001,220.37,247,1031,0
41001,241.35,181,1689,0
42001,256.12,123,2461,0
43001,267.99,110,3274,0
44001,277.91,89,4135,0
45001,285.71,85,5053,0
46001,292.12,70,5944,0
47001,298.26,56,6828,0
48001,303.8,48,7722,0
49001,308.55,50,8636,0
50001,312.67,45,9525,0
51001,316.54,47,10419,0
52001,319.88,43,11335,0
53001,323.22,43,12247,0
54001,326.23,42,13152,0
55001,329.24,45,14069,0
56001,331.78,41,15017,0
57001,334.2,40,15938,0
58001,336.55,38,16862,0
59001,338.68,33,17789,0
60001,340.66,33,18703,0
61001,342.59,30,19622,0
62001,344.55,35,20517,0
63001,346.44,32,21436,0
64001,348.24,32,22356,0
65001,349.9,33,23305,0
66001,351.55,32,24212,0
67001,353.13,33,25129,0
68001,354.69,31,26019,0
69001,356.08,29,26955,0
70001,357.47,31,27875,0
71001,358.83,29,28787,0
72001,360.2,28,29704,0
73001,361.53,26,30620,0
74001,362.8,26,31560,0
75001,364.1,27,32493,0
75804,365,26,33239,0
