1,0,10000,5,0
1001,1.4847,9749,5,0
2001,3.0747,9509,5,0
3001,4.6214,9273,5,0
4001,6.2146,8957,5,0
5001,7.9336,8722,6,0
6001,9.6301,8481,7,0
7001,11.416,8229,7,0
8001,13.245,7987,7,0
9001,15.108,7722,8,0
10001,17.062,7488,8,0
11001,19.067,7218,8,0
12001,21.206,6914,8,0
13001,23.49,6640,8,0
14001,25.751,6374,8,0
15001,28.285,6150,8,0
16001,30.773,5915,9,0
17001,33.466,5603,9,0
18001,36.142,5427,9,0
19001,39.014,5179,11,0
20001,41.933,4891,11,0
21001,45.072,4628,12,0
22001,48.606,4345,15,0
23001,52.269,4105,17,0
24001,56.212,3823,19,0
25001,60.439,3546,22,0
26001,64.816,3266,22,0
27001,69.403,3007,23,0
28001,74.812,2711,23,0
29001,80.705,2449,29,0
30001,87.277,2159,33,0
31001,94.619,1840,34,0
32001,103.45,1569,41,0
33001,113.87,1300,46,0
34001,126.98,1038,58,0
35001,142.17,778,90,0
36001,163.77,481,165,0
37001,194.82,329,315,0
38001,230.51,189,735,0
39001,257.89,124,1392,0
40001,277.84,92,2176,0
41001,291.08,66,3036,0
42001,301.39,53,3907,0
43001,309.65,45,4803,0
44001,316.96,37,5697,0
45001,322.93,30,6610,0
46001,328.55,32,7524,0
47001,333.08,34,8452,0
48001,337.29,34,9362,0
49001,341.01,30,10270,0
50001,344.69,27,11185,0
51001,348,24,12096,0
52001,351.02,21,13011,0
53001,353.91,21,13913,0
54001,356.57,16,14844,0
55001,359.08,18,15776,0
56001,361.6,16,16690,0
57001,363.92,15,17623,0
57513,365,16,18094,0
