1,0,10000,5,0
1001,1.5525,9291,6,491
2001,3.1209,9038,6,486
3001,4.7737,8793,6,483
4001,6.4262,8560,6,472
5001,8.0822,8375,6,465
6001,9.7439,8118,6,452
7001,11.492,7933,6,451
8001,13.349,7698,7,449
9001,15.178,7417,7,444
10001,17.157,7193,6,441
11001,19.262,6944,6,426
12001,21.35,6690,6,422
13001,23.454,6506,8,410
14001,25.71,6252,8,402
15001,28.176,6010,8,406
16001,30.678,5792,9,401
17001,33.21,5596,9,397
18001,35.78,5306,9,389
19001,38.442,5101,11,382
20001,41.34,4835,14,377
21001,44.366,4608,15,367
22001,47.456,4470,16,352
23001,50.714,4276,18,340
24001,54.216,4093,19,330
25001,57.647,3879,21,308
26001,61.413,3664,22,298
27001,65.153,3459,27,298
28001,69.302,3261,28,291
29001,73.737,3026,29,275
30001,78.773,2794,35,245
31001,84.033,2583,48,237
32001,90.02,2362,49,219
33001,96.382,2124,56,198
34001,103.75,1920,62,188
35001,110.98,1723,73,188
36001,119.72,1503,92,169
37001,129.51,1300,116,152
38001,140.79,1137,141,132
39001,153.77,971,200,125
40001,167.71,809,267,104
41001,183.91,664,403,89
42001,201.53,504,599,77
43001,221.27,377,938,57
44001,238.96,306,1461,51
45001,254.07,265,2079,42
46001,267.11,234,2791,37
47001,277.54,182,3563,31
48001,285.98,168,4357,29
49001,293.28,164,5194,26
50001,300.09,146,6047,21
51001,305.86,127,6915,18
52001,310.74,123,7805,14
53001,315.37,106,8676,16
54001,319.45,101,9591,12
55001,323.27,97,10485,14
56001,326.68,94,11416,16
57001,329.9,94,12341,13
58001,332.91,93,13223,10
59001,335.69,93,14131,8
60001,338.35,85,15038,7
61001,340.81,82,15960,8
62001,343.03,73,16893,8
63001,345.31,74,17819,5
64001,347.37,69,18748,5
65001,349.42,64,19652,4
66001,351.32,68,20528,2
67001,353.1,66,21420,2
68001,354.83,61,22348,1
69001,356.56,61,23252,1
70001,358.14,63,24160,1
71001,359.64,60,25082,2
72001,361.18,59,26006,3
73001,362.6,61,26936,3
74001,364.06,58,27880,2
74670,365,57,28500,2
