1,0,10000,5,0
1001,1.5531,9343,5,0
2001,3.211,8834,6,0
3001,4.9334,8428,8,0
4001,6.7054,8110,8,0
5001,8.5311,7736,8,0
6001,10.591,7396,10,0
7001,12.502,7052,10,0
8001,14.698,6694,10,0
9001,17.122,6362,10,0
10001,19.577,6119,11,0
11001,22.119,5799,11,0
12001,24.786,5525,11,0
13001,27.736,5224,12,0
14001,30.658,4980,12,0
15001,33.877,4747,13,0
16001,37.063,4440,14,0
17001,40.543,4175,15,0
18001,44.278,4008,16,0
19001,47.982,3731,17,0
20001,52.329,3445,17,0
21001,56.889,3148,18,0
22001,61.575,2916,20,0
23001,66.974,2680,20,0
24001,72.72,2429,21,0
25001,79.721,2154,24,0
26001,87.071,1908,28,0
27001,95.122,1627,35,0
28001,104.94,1332,42,0
29001,117.28,1060,54,0
30001,132.16,861,71,0
31001,152.79,590,114,0
32001,181.06,369,211,0
33001,222.5,159,455,0
34001,263.91,68,1018,0
35001,289.77,34,1784,0
36001,306.68,15,2611,0
37001,319.36,12,3422,0
38001,329.8,4,4264,0
39001,337.83,5,5085,0
40001,344.99,2,5902,0
41001,351.16,2,6654,0
42001,356.51,1,7423,0
43001,361.53,2,8178,0
44001,366.09,1,8965,0
45001,370.73,0,9692,0
46001,374.82,0,10428,0
47001,378.39,0,11142,0
48001,381.74,0,11874,0
49001,384.85,0,12566,0
50001,387.94,0,13266,0
51001,390.86,0,13972,0
52001,393.59,0,14688,0
53001,396.17,0,15386,0
54001,398.71,0,16098,0
55001,401.17,0,16786,0
56001,403.33,0,17482,0
57001,405.56,0,18206,0
58001,407.71,0,18872,0
59001,409.75,0,19536,0
60001,411.67,0,20204,0
61001,413.64,0,20848,0
62001,415.45,0,21500,0
63001,417.19,0,22180,0
64001,418.85,0,22804,0
65001,420.52,0,23448,0
66001,422.16,0,24106,0
67001,423.7,0,24742,0
68001,425.22,0,25382,0
69001,426.74,0,26032,0
70001,428.19,0,26666,0
71001,429.57,0,27288,0
72001,430.98,0,27924,0
73001,432.34,0,28584,0
74001,433.63,0,29234,0
75001,435.01,0,29862,0
76001,436.26,0,30502,0
77001,437.56,0,31136,0
78001,438.84,0,31758,0
79001,440.04,0,32378,0
80001,441.28,0,33058,0
81001,442.52,0,33694,0
82001,443.7,0,34278,0
83001,444.81,0,34918,0
84001,445.88,0,35512,0
85001,446.97,0,36146,0
86001,448,0,36758,0
87001,449.08,0,37382,0
88001,450.04,0,38010,0
89001,451.09,0,38582,0
90001,452.07,0,39222,0
91001,453.05,0,39824,0
91326,453.38,0,40019,0
